latitude,longitude,confidence,frp
-22.2701,124.8758,82,24.1
-20.7789,119.4428,75,45.8
-20.7918,119.4444,85,81.1
-20.7941,119.4234,80,57.3
-20.7811,119.4219,72,37.6
-15.1927,130.34,70,26.4
-16.9071,122.7686,51,8.5
-15.4903,130.6806,17,28.2
-15.5022,130.6125,74,42.5
-15.5052,130.5955,85,56.7
-15.5081,130.5788,55,28.9
-15.511,130.562,62,28.5
-15.5139,130.5452,63,28.7
-15.5012,130.6593,65,36.9
-15.5041,130.6423,59,29.2
-15.5069,130.6255,45,24.6
-15.5097,130.6084,77,46.1
-15.5126,130.5914,65,35.5
-15.4905,130.4331,55,23
-15.4755,130.3795,74,56.8
-16.1733,126.0054,39,11.5
-16.1747,125.996,95,55.7
-15.4381,130.5266,92,91.1
-15.441,130.5098,91,84.8
-16.1643,126.004,67,15.8
-15.4292,130.5077,79,36.5
-15.4435,130.5206,65,32.8
-15.4317,130.5184,98,152.4
-15.4345,130.5017,53,23.8
-15.3797,130.7558,57,37.8
-15.4227,130.4995,91,83.2
-15.4109,130.4973,96,123.9
-15.4137,130.4806,91,83
-15.3556,130.7514,53,24.3
-15.4019,130.4785,74,28.3
-15.4047,130.4618,53,20.9
-15.393,130.4597,61,30.9
-16.09,126.005,65,12.4
-16.0914,125.9955,83,25.2
-15.2073,131.3123,64,23.4
-16.0831,125.9264,47,7.1
-16.0845,125.9169,87,31.5
-16.0859,125.9075,79,19.2
-16.0873,125.8981,59,8.6
-15.2051,131.252,66,23.3
-16.0754,125.9155,75,16.3
-16.0768,125.9061,97,61.3
-16.0782,125.8966,100,103.1
-16.0796,125.8872,76,17.7
-15.2049,131.3268,61,19.1
-15.2055,131.2469,70,29.7
-15.1654,131.18,21,19
-15.1529,131.1778,87,83.9
-15.0203,131.7745,49,31.2
-15.024,131.7537,45,29.6
-15.1513,131.1702,33,31.4
-15.0231,131.7676,74,48.5
-15.0063,131.7863,38,22.6
-15.01,131.7649,30,19.9
-15.1019,131.0828,55,25.6
-15.1052,131.0639,50,15.7
-15.0928,131.0617,74,35.3
-15.2354,130.231,55,29.4
-14.9462,131.8191,51,44.7
-14.933,131.8167,35,34.8
-15.1955,130.3236,68,23.1
-15.1987,130.3355,55,28.1
-14.938,131.8124,73,59.8
-15.1352,130.4265,47,17.9
-15.138,130.4098,76,33
-14.3146,134.9123,68,90.5
-15.0855,130.5753,84,56.7
-15.1813,129.9411,58,45.1
-15.1839,129.9258,83,60.6
-15.1621,129.9849,85,53.9
-14.3102,134.9034,69,91.9
-15.0649,130.5837,63,20.5
-15.1615,129.9945,76,27.9
-15.1642,129.9779,67,25.3
-14.7478,130.6871,73,37
-14.6903,130.6577,86,69.7
-14.6781,130.5841,75,38
-14.6675,130.6108,84,72.5
-14.6704,130.5937,39,27.8
-14.6525,130.6261,94,123.2
-14.6554,130.6088,81,72.7
-14.6583,130.5915,30,35.7
-14.6462,130.5895,100,298.1
-14.6492,130.5721,34,27.5
-14.3185,130.6756,74,32.5
-14.3149,130.6678,60,18
-14.2568,130.7132,54,30.7
-14.2476,130.6929,61,21
-14.3457,129.8308,57,18.7
-14.2,130.6596,42,28.8
-14.0453,131.4964,66,33.6
-14.0286,131.5149,49,23.1
-14.7357,126.7584,96,61.3
-14.7264,126.7568,83,31
-13.9821,131.244,93,152.2
-13.9856,131.224,88,101.5
-14.7061,126.7638,91,36.4
-14.7076,126.7537,100,95.5
-14.6983,126.7522,91,38.4
-14.6998,126.7421,85,24.8
-14.7013,126.732,91,40.9
-14.163,130.0316,89,86.1
-14.6749,126.7795,50,17.9
-14.6732,126.7275,93,47.8
-14.6748,126.7174,54,13.3
-14.6213,126.9118,56,10.4
-14.0959,130.0311,40,16.4
-13.9893,130.5932,77,36.9
-13.977,130.591,78,37.9
